Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
pack-sachets-bebida-elite-cafeina,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2023/03/bebida_deportiva_elite.jpg,2,Pack x20 sachets Bebida Deportiva Élite con Cafeína,,,
pack-sachets-bebida-elite-cafeina,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2023/03/bebida_deportiva_sin-cafeina.jpg,3,Pack x20 sachets Bebida Deportiva Élite con Cafeína,,,
pack-sachets-bebida-elite-cafeina,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2023/03/bebida_deportiva_elite-actimax.jpg,4,Pack x20 sachets Bebida Deportiva Élite con Cafeína,,,
pack-sachets-bebida-elite-cafeina,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2023/03/Bebida-elite-sachet-tabla-nutricional.jpg,5,Pack x20 sachets Bebida Deportiva Élite con Cafeína,,,
energy-pack-gran-fondo,Energy Pack Gran Fondo,"<p>Este Energy Pack <b>Gran Fondo</b> ha sido diseñado por especialistas en nutrición deportiva para garantizar la hidratación, energía y recuperación que necesitas para tu fondo de ciclismo.</p>
<p>¡Úsalo en entrenamientos y competencias!</p>
<p>El Energy Pack del Gran Fondo incluye:</p>
<ul> <li>1 Sobre Pre Race</li>
<li>5 Sobres de Bebida Élite</li>
<li>2 Geles energéticos de 90 gr</li>
<li>2 Energy Gel</li>
<li>1 Sobre de Recovery Pro</li>
</ul>
<h3>Recomendaciones de uso</h3>
<p><b>Antes</b>:</p>
<p>• <b>Pre Race</b>: consume 1 sobre de Pre Race Actimax en tu desayuno. Disuelve todo el contenido del sobre en 250 ml (una taza) de tu bebida preferida (agua, leche, yogurt, avena, café, jugo, etc).</p>
<p><b>Durante</b>:</p>
<ul> <li><b></b><b>Geles energéticos</b>: 2 geles energéticos de 90 g: consume una porción de gel cada 45 minutos. 2 Energy Gel: ideales para los kilómetros más retadores, premios de montaña o cronos específicas.</li>
<li><b></b><b>Hidratación</b>: 5 Sobres de Bebida Élite que te aportarán electrolitos y carbohidratos para la ruta. Prepara cada sobre en una caramañola (te recomendamos consumir una caramañola por hora).</li>
</ul>
<p><b>Después</b>:</p>
<p>Consume 1 sobre de Recovery Pro Actimax. Disuelve el contenido del sobre en 250 ml de agua y consúmelo cuando estés de vuelta a la calma para garantizar la recuperación rápida de tus músculos, la reposición de glucógeno y la rehidratación de tu cuerpo.</p>",Actimax,Energy Packs,"kits, ciclismo",TRUE,Title,Default Title,,shopify,100,deny,manual,95000,112000,TRUE,TRUE,https://actimax.com.co/wp-content/uploads/2025/09/Energy-Pack-Gran-Fondo-ciclismo.webp,1,Energy Pack Gran Fondo,Energy Pack Gran Fondo — Actimax,"Este Energy Pack Gran Fondo ha sido diseñado por especialistas en nutrición deportiva para garantizar la hidratación, energía y recuperación que necesitas para ",active
energy-pack-gran-fondo,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2022/04/Energy-Pack-Gran-Fondo-Ciclismo-Kit-de-nutricion-para-Gran-Fondo-1.webp,2,Energy Pack Gran Fondo,,,
energy-pack-gran-fondo,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2022/04/Energy-Pack-Gran-Fondo-Ciclismo-Kit-de-nutricion-para-Gran-Fondo-3.webp,3,Energy Pack Gran Fondo,,,
energy-pack-gran-fondo,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2022/04/Energy-Pack-Gran-Fondo-Ciclismo-Kit-de-nutricion-para-Gran-Fondo-2.webp,4,Energy Pack Gran Fondo,,,
energy-pack-media-maraton-21k,Energy Pack Media Maratón 21K,"<p>Este Energy Pack <strong>Media Maratón 21K</strong> ha sido diseñado por los expertos en nutrición deportiva de Actimax para que conquistes la meta con la hidratación, energía y recuperación que tu cuerpo necesita.</p>
<p>El Energy Pack 21K incluye:</p>
<ul> <li>1 Sobre de Pre Race</li>
<li>2 Geles Energéticos con cafeína de 30 gr</li>
<li>1 Energy Gel</li>
<li>1 Sobre de Recovery Pro</li>
</ul>
<h3>Recomendaciones de uso</h3>
<p><strong>Antes de la carrera:</strong></p>
<p>• Pre Race: consume 1 sobre de Pre Race Actimax en tu desayuno. Disuelve todo el contenido del sobre en 250 ml (una taza) de tu bebida preferida (agua, leche, yogurt, avena, café, jugo, etc).</p>
<p><strong>Durante la carrera :</strong></p>
<ul> <li>Geles: planifica el consumo de un gel de fruta Actimax en los siguientes kilómetros: Km 7 – Km 14 y un Energy gel Actimax en el Km 19 para así garantizar la reposición de energía rápida y de larga duración a tus músculos y que puedas conseguir tu PR en la media maratón. (Nota: después de consumir cada gel toma un sorbo grande de bebida deportiva Elite Actimax.)</li>
<li>Hidratación: antes de salir de tu casa prepara un sobre de la bebida deportiva Elite en 500 ml de agua, ve consumiendo pequeños sorbos durante el recorrido hacia el lugar de salida de la carrera y hasta finalizar el calentamiento, esta estrategia te ayudará a la pre-hidratación de tus músculos y al aumento de reservas de glucógeno muscular previos al inicio de la carrera. Para la carrera, te recomendamos utilizar la hidratación dispuesta por la organización y consumir un sorbo de 100 ml en cada punto de hidratación durante todo el recorrido (utiliza la hidratación en todos los puntos disponibles y consume preferiblemente las bebidas que contengan carbohidratos y electrolitos, el agua también puedes arrojártela encima para bajar la temperatura corporal y que tu cuerpo sea más eficiente)</li>
</ul>
<p><strong>Después de la carrera llega tu recompensa</strong></p>
<p>• Consume 1 sobre de Recovery Pro Actimax + 1 sobre de la bebida deportiva Elite disueltos en 500 ml de agua, consúmelo cuando estés realizando el estiramiento y de vuelta a la calma, esta maniobra garantizará la recuperación rápida de tus músculos, la reposición de glucógeno y la rehidratación nuevamente de tu cuerpo.</p>
<p><strong>Consideraciones para consumir geles Actimax y Bebida Deportiva Élite Actimax durante una media maratón:</strong></p>
<p><strong>1. Intensidad de la Carrera:</strong></p>
<p>Durante una media maratón, la intensidad suele ser mayor que en los entrenamientos regulares. Aunque tu dieta diaria pueda ser suficiente para entrenamientos, durante la carrera, tus músculos y sistema nervioso central demandarán energía de forma rápida y constante.</p>
<p>Consumir un gel Actimax cada 30 minutos te ayudará a mantener estables los niveles de glucosa en sangre, proporcionando energía rápida y retrasando la fatiga.</p>
<p><strong>2. Prevención de Fatiga:</strong></p>
<p>La fatiga es común en carreras de resistencia, especialmente si el esfuerzo es sostenido. Aportar carbohidratos de forma regular con los geles Actimax durante la carrera asegura que tengas una fuente constante de energía, reduciendo el riesgo de agotamiento prematuro.</p>
<p><strong>3. Reposición de Sodio:</strong></p>
<p>Aunque la pérdida de sodio puede variar entre personas, consumir 500 ml de Bebida Deportiva Élite Actimax por hora (tomando sorbos grandes cada 10 minutos) te ayudará a mantener el equilibrio electrolítico, especialmente si la carrera se realiza en condiciones calurosas o si sudas mucho.</p>
<p>Mantener el nivel adecuado de sodio ayuda a prevenir la deshidratación y los calambres musculares, mejorando la capacidad de rendimiento a lo largo de la carrera.</p>
<p><strong>4. Personalización:</strong></p>
<p>La cantidad de carbohidratos y sodio necesaria puede variar según tu metabolismo, nivel de esfuerzo, y condiciones climáticas. El Energy Pack Actimax para 21K te ayudarán a tener una excelente estrategia de nutrición que te aportará energía, hidratación y recuperación suficiente para corredores que tienen una base sólida de entrenamiento y una dieta equilibrada.</p>
<p><strong>Nutrientes y función en nuestros productos:</strong></p>
<ul> <li>Aporte de energía con carbohidratos especializados: Los productos Actimax están formulados con mezclas de carbohidratos de rápida y lenta absorción, lo que proporciona una liberación constante y eficiente de energía durante eventos prolongados. Esto es esencial para mantener el rendimiento y prevenir la fatiga.</li>
<li>Proteínas y electrolitos: Las barras de proteínas y las bebidas de recuperación contienen proteínas de alta calidad y electrolitos que ayudan en la reparación muscular y en la hidratación, algo que los alimentos sólidos típicos no ofrecen con la misma precisión.</li>
</ul>
<p><strong>Hidratación y Recuperación:</strong></p>
<ul> <li>Hidratación y Recuperación: Las bebidas deportivas de Actimax están formuladas para reemplazar los electrolitos perdidos y mantener la hidratación efectiva durante el ejercicio. Esto es crucial para evitar la deshidratación y mejorar la resistencia.</li>
<li>Recuperación Óptima: Los productos de recuperación de Actimax están diseñados para acelerar la recuperación post-evento, ayudando a la reparación muscular y la reposición de glucógeno más rápidamente que los alimentos sólidos tradicionales.</li>
</ul>
<p>Formulación para Rendimiento: Los productos Actimax están diseñados para ser digeridos rápidamente y proporcionan energía y nutrientes específicos en momentos críticos del evento (antes, durante y después), lo que optimiza el rendimiento y la recuperación</p>
<p>Aunque tu dieta diaria puede cubrir tus necesidades energéticas en entrenamientos, consumir 1 gel Actimax cada 30 minutos y 500 ml de Bebida Élite Actimax por hora durante la carrera puede ser beneficioso para mantener un rendimiento óptimo. Esta ingesta moderada te ayudará a mantener estables tus niveles de energía y electrolitos, previniendo la fatiga y permitiéndote sostener un buen ritmo durante toda la media maratón.</p>
<p>Para carreras y eventos de resistencia, los productos como Actimax ofrecen ventajas significativas en términos de eficiencia, formulación específica para el rendimiento y recuperación. Proporcionan la combinación adecuada de carbohidratos, proteínas, electrolitos y otros nutrientes clave en momentos críticos, lo que resulta en una mejor preparación y recuperación que simplemente depender de frutas, bocadillos y agua. Si bien estos alimentos pueden ser parte de una dieta equilibrada, los productos Actimax están diseñados para maximiza</p>",Actimax,Energy Packs,"kits, running",TRUE,Title,Default Title,,shopify,100,deny,manual,50000,55000,TRUE,TRUE,https://actimax.com.co/wp-content/uploads/2025/08/Energy-Pack-21K.webp,1,Energy Pack Media Maratón 21K,Energy Pack Media Maratón 21K — Actimax,"Este Energy Pack Media Maratón 21K ha sido diseñado por los expertos en nutrición deportiva de Actimax para que conquistes la meta con la hidratación, energía y",active
energy-pack-media-maraton-21k,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2022/04/Energy-Pack-21K-Geles-energeeticos-Actimax.jpg,2,Energy Pack Media Maratón 21K,,,
energy-pack-media-maraton-21k,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2025/08/Recomendaciones-de-uso-de-los-Energy-Packs-21K-Infografia.webp,3,Energy Pack Media Maratón 21K,,,
